id,type,slug,alias_names,animagus,blood_status,boggart,born,died,eye_color,family_members,gender,hair_color,height,house,image,jobs,marital_status,name,nationality,patronus,romances,skin_color,species,titles,wands,weight,wiki,image_blob
db55dcdb-f5c8-4236-bd61-f3bb8768c0ef,character,1980s-hogwarts-gobstones-tournament-champion,[],,Pure-blood or half-blood,,Between 1 September 1971 and 31 August 1972,"c. 1986 or after (aged 14 at least), Great Lake, Hogwarts School of Witchcraft and Wizardry",Green,"[""Parents""]",Male,Black,,Hufflepuff,https://static.wikia.nocookie.net/harrypotter/images/5/57/Huff_boy_FR4_MA.jpg,[],,1980s Hogwarts Gobstones Tournament champion,British or Irish,,[],White,Human,[],[],,https://harrypotter.fandom.com/wiki/1980s_Hogwarts_Gobstones_Tournament_champion,
fd3d89e2-8e8f-425e-861f-61b338a0b02c,character,1980s-hogwarts-gobstones-tournament-champion-s-parents,[],,,,,,,"[""Son""]","Male, female",,,,,[],Married,1980s Hogwarts Gobstones Tournament champion's parents,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/1980s_Hogwarts_Gobstones_Tournament_champion's_parents,
3b880bb5-5363-4250-8505-d4d2f7ac7cc8,character,1992-gryffindor-vs-slytherin-quidditch-match-spectators,[],,,,,,,[],,,,,,[],,1992 Gryffindor vs Slytherin Quidditch match spectators,,,[],,,[],[],,https://harrypotter.fandom.com/wiki/1992_Gryffindor_vs_Slytherin_Quidditch_match_spectators,
2aa14ba2-7fe4-4724-b231-28788698a27c,character,1996-gryffindor-quidditch-keeper-trials-spectators,[],,,,,,,[],,,,,,[],,1996 Gryffindor Quidditch Keeper trials spectators,,,[],,,[],[],,https://harrypotter.fandom.com/wiki/1996_Gryffindor_Quidditch_Keeper_trials_spectators,
b472c849-837a-4a0f-9b36-99b51879ed0a,character,2-headed-baby,[],,,,Before 1927,,,[],Male (most likely),,,,https://static.wikia.nocookie.net/harrypotter/images/a/a6/2HeadedBaby.jpg,"[""Circus performers""]",,2-Headed Baby,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/2-Headed_Baby,
42086860-5713-4745-8321-276d74c0465d,character,unidentified-8-year-old-muggle-girl,[],,Muggle,,1983,,,[],Female,,,,,[],,8-year-old Muggle girl,,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Unidentified_8-year-old_Muggle_girl,
e1146919-5257-4132-8a5a-ff6fb9dfd5b6,character,a-individual,[],,,,Between 963 and 1879,,,[],,,,,,[],,A,British or Irish,,"[""T""]",,Human,[],[],,https://harrypotter.fandom.com/wiki/A_(individual),
f5a1e23b-2519-406b-8ca3-593262654410,character,aamir-loonat,[],,,,31 August 1982 or earlier,,,[],Male,,,Gryffindor,https://static.wikia.nocookie.net/harrypotter/images/c/cd/Aamir_Loonat.png,[],,Aamir Loonat,British or Irish,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Aamir_Loonat,
e721211c-a2f0-408c-9e84-4649f8f8ac0d,character,abbott,[],,Pure-blood (possibly),,,"Before 24 December, 1997",,"[""Hannah Abbott (possibly)"", ""Hannah Abbott's mother (possibly)"", ""Giffard Abbott (possibly)"", ""Abbott family""]",,,,,,[],,Abbott,,,[],,,[],[],,https://harrypotter.fandom.com/wiki/Abbott,
d51edc75-9210-4b03-a505-87e53e148ef5,character,abel-treetops,[],,,,Before 1832,,,[],Male,,,,,"[""Con artist""]",,Abel Treetops,American,,[],,Human,[],[],,https://harrypotter.fandom.com/wiki/Abel_Treetops,
